id,No., POKÉMON,FORM, Type 1,Type 2,BST,HP,ATK,DEF,SPATK,SPDEF,SPD,BASE EXP,EXP TYPE,EGG GROUP 1,EGG GROUP 2,PHASE,EVO LVL,EVO 1,EVO 2,EVO 3,EVO 4,EVO 5,EVO 6,EVO 7,EVO 8,Merged Doc ID - scr_dex_2,Merged Doc URL - scr_dex_2,Link to merged Doc - scr_dex_2,Document Merge Status - scr_dex_2,Merged Doc ID - Job (_1559084822295_UPGRADE),Merged Doc URL - Job (_1559084822295_UPGRADE),Link to merged Doc - Job (_1559084822295_UPGRADE),Document Merge Status - Job (_1559084822295_UPGRADE),Merged Doc ID - scr_dex (Run),Merged Doc URL - scr_dex (Run),Link to merged Doc - scr_dex (Run),Document Merge Status - scr_dex (Run)
1,1,BULBASAUR,,Grass,Poison,318,45,49,49,65,65,45,64,,Grass,Monster,1,16,IVYSAUR,,,,,,,,,,,Starting at Tue May 28 2019 18:57:16 GMT-0400 (EDT),1SFzvFFPvhSfg7m0NXS8ek4r_chJ_AMn6WFsOcwqfinc,https://docs.google.com/document/d/1SFzvFFPvhSfg7m0NXS8ek4r_chJ_AMn6WFsOcwqfinc/edit?usp=drivesdk,ggg,Document successfully created; Document successfully merged; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 7:08 PM,1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14,https://docs.google.com/document/d/1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14/edit?usp=drivesdk,scr_dex (Pattern),Data merged and appended successfully; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 11:25 PM
2,2,IVYSAUR,,Grass,Poison,405,60,62,63,80,80,60,142,,Grass,Monster,2,32,VENUSAUR,,,,,,,,,,,Starting at Tue May 28 2019 18:57:16 GMT-0400 (EDT),13ry-_eKGTlDZi0ZJXwKVrmw2CKOw-5vf4swy9sNdVkw,https://docs.google.com/document/d/13ry-_eKGTlDZi0ZJXwKVrmw2CKOw-5vf4swy9sNdVkw/edit?usp=drivesdk,ggg,Document successfully created; Document successfully merged; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 7:08 PM,1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14,https://docs.google.com/document/d/1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14/edit?usp=drivesdk,scr_dex (Pattern),Data merged and appended successfully; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 11:25 PM
3,3,VENUSAUR,FEMALE,Grass,Poison,525,80,82,83,100,100,80,236,,Grass,Monster,3,,,,,,,,,,,,,Starting at Tue May 28 2019 18:57:16 GMT-0400 (EDT),160rq419cQczMTI4CHwJwyOoO6tJSaqhYCyUfzwy3xXE,https://docs.google.com/document/d/160rq419cQczMTI4CHwJwyOoO6tJSaqhYCyUfzwy3xXE/edit?usp=drivesdk,ggg,Document successfully created; Document successfully merged; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 7:08 PM,1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14,https://docs.google.com/document/d/1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14/edit?usp=drivesdk,scr_dex (Pattern),Data merged and appended successfully; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 11:25 PM
4,3,VENUSAUR,MALE,Grass,Poison,525,80,82,83,100,100,80,236,,Grass,Monster,3,,,,,,,,,,,,,Starting at Tue May 28 2019 18:57:16 GMT-0400 (EDT),1YNTBMWXuG3FyoXvDw3CBSke15Yol8TTdSISQYE-G1iM,https://docs.google.com/document/d/1YNTBMWXuG3FyoXvDw3CBSke15Yol8TTdSISQYE-G1iM/edit?usp=drivesdk,ggg,Document successfully created; Document successfully merged; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 7:09 PM,1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14,https://docs.google.com/document/d/1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14/edit?usp=drivesdk,scr_dex (Pattern),Data merged and appended successfully; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 11:25 PM
5,3,VENUSAUR,MEGA,Grass,Poison,625,80,100,123,122,120,80,281,,Grass,Monster,3,,,,,,,,,,,,,Starting at Tue May 28 2019 18:57:16 GMT-0400 (EDT),1HupW5pcGzZP1r3uuAHJPV5q_Gei3C-aqG7kgn93nsNE,https://docs.google.com/document/d/1HupW5pcGzZP1r3uuAHJPV5q_Gei3C-aqG7kgn93nsNE/edit?usp=drivesdk,ggg,Document successfully created; Document successfully merged; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 7:09 PM,1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14,https://docs.google.com/document/d/1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14/edit?usp=drivesdk,scr_dex (Pattern),Data merged and appended successfully; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 11:25 PM
6,4,CHARMANDER,,Fire,,309,39,52,43,60,50,65,62,,Dragon,Monster,1,16,CHARMELEON,,,,,,,,,,,Starting at Tue May 28 2019 18:57:16 GMT-0400 (EDT),1dxPfGfNWP8ZigKqX1RWWyHJnispv3UUQ83nM0P8HIsk,https://docs.google.com/document/d/1dxPfGfNWP8ZigKqX1RWWyHJnispv3UUQ83nM0P8HIsk/edit?usp=drivesdk,ggg,Document successfully created; Document successfully merged; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 7:09 PM,1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14,https://docs.google.com/document/d/1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14/edit?usp=drivesdk,scr_dex (Pattern),Data merged and appended successfully; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 11:25 PM
7,5,CHARMELEON,,Fire,,405,58,64,58,80,65,80,142,,Dragon,Monster,2,36,CHARIZARD,,,,,,,,,,,Starting at Tue May 28 2019 18:57:16 GMT-0400 (EDT),1B5CUlsby2K0qgLD4rQ_0P4OtxQ95LxaQSinQ42neR8A,https://docs.google.com/document/d/1B5CUlsby2K0qgLD4rQ_0P4OtxQ95LxaQSinQ42neR8A/edit?usp=drivesdk,ggg,Document successfully created; Document successfully merged; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 7:09 PM,1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14,https://docs.google.com/document/d/1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14/edit?usp=drivesdk,scr_dex (Pattern),Data merged and appended successfully; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 11:25 PM
8,6,CHARIZARD,,Fire,Flying,534,78,84,78,109,85,100,240,,Dragon,Monster,3,,,,,,,,,,,,,Starting at Tue May 28 2019 18:57:16 GMT-0400 (EDT),1OccPdkgxBBPInSTOeUPYknQEMTu_9Y8P5dpte15ZiSA,https://docs.google.com/document/d/1OccPdkgxBBPInSTOeUPYknQEMTu_9Y8P5dpte15ZiSA/edit?usp=drivesdk,ggg,Document successfully created; Document successfully merged; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 7:09 PM,1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14,https://docs.google.com/document/d/1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14/edit?usp=drivesdk,scr_dex (Pattern),Data merged and appended successfully; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 11:25 PM
9,6,CHARIZARD,MEGA (X),Fire,Dragon,634,78,130,111,130,85,100,285,,Dragon,Monster,3,,,,,,,,,,,,,Starting at Tue May 28 2019 18:57:16 GMT-0400 (EDT),1PI6nQaPmXgehIo_Z_TSHBk06EfcN9fyGwlQ7scPEoo4,https://docs.google.com/document/d/1PI6nQaPmXgehIo_Z_TSHBk06EfcN9fyGwlQ7scPEoo4/edit?usp=drivesdk,ggg,Document successfully created; Document successfully merged; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 7:09 PM,1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14,https://docs.google.com/document/d/1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14/edit?usp=drivesdk,scr_dex (Pattern),Data merged and appended successfully; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 11:25 PM
10,6,CHARIZARD,MEGA (Y),Fire,Flying,634,78,104,78,159,115,100,285,,Dragon,Monster,3,,,,,,,,,,,,,Starting at Tue May 28 2019 18:57:16 GMT-0400 (EDT),1bWTKYgxKoDr1OxLRWfL6Bl88c8tlnMjBoIrlG7fcJb0,https://docs.google.com/document/d/1bWTKYgxKoDr1OxLRWfL6Bl88c8tlnMjBoIrlG7fcJb0/edit?usp=drivesdk,ggg,Document successfully created; Document successfully merged; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 7:09 PM,1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14,https://docs.google.com/document/d/1mYaWOd7zAVdYihrXmSbT9WhF74sz_PCnkfHI8XOCO14/edit?usp=drivesdk,scr_dex (Pattern),Data merged and appended successfully; Manually run by green.tie.rgm@gmail.com; Timestamp: May 28 2019 11:25 PM
